No,Ulasan,Translate_Ulasan,VADER A,VADER B,MANUAL
2256,"Saya suka, Sangat memuaskan","I like it, Very satisfying",positif,positif,positif
2257,Bank yg banyak masalah khususnya kartu kreditnya.. berulang2 telp call center ga dpat solusi.. malah dikenakan bunga!!! Yg salah mereka tiba2 tagihan bnyak bnget gara2 sistemnya mereka. Dilaporin katae ga usah dibayar.. giliran ga dibayar malah ditagih bunga.. dilaporin lagi malah dibilang krn kurang bayar!! Ga ada solusi meskipun lapor sana sini parah!!!,"Banks have a lot of problems, especially credit cards.. I called the call center repeatedly and couldn't get a solution.. instead they charged interest!!! What's wrong is that they suddenly get a lot of bills because of their system. It was reported that you didn't have to pay it... it was your turn to not be paid instead you were charged interest... it was reported again and it was said it was due to underpayment!! There is no solution even if you report it here and there it's bad!!!",negatif,netral,negatif
2258,Bank'nya Worth it tapi aplikasi ga... Beda jauh,The bank is worth it but the application isn't... Much different,positif,netral,negatif
2259,Ok,Ok,positif,positif,netral
2260,"Saya sedang hidup di luar negeri, buka rekening CIMB rencana buat mempermudah, dari 2 bulan lepas masih bermasalah, sangat mengecewakan, maaf dengan kata ""kecewa"" semoga kedepannya diperbaiki secepatnya","I'm living abroad, opened a CIMB account to make things easier, 2 months ago it's still a problem, very disappointing, sorry for the word ""disappointed"" hopefully it will be fixed as soon as possible in the future",negatif,netral,negatif
2261,Setiap mau transaksi ...kok ngebug bug aja...muncul tulisan null..solusinya donk,Every time you want to make a transaction... why do you just hit a bug... it says null... that's the solution,positif,netral,negatif
2262,burui ribet,make it complicated,netral,netral,negatif
2263,"Banyak ulasan jelek harusnya benerin sistem anjg, orang lagi urgent jadi kehambat garaÂ² aplikasilu sering close sendiri, bgst lah","There are a lot of bad reviews, you should fix the system, people who are urgent are being hampered because your application often closes itself, that's great.",positif,netral,negatif
2264,Ok,Ok,positif,positif,netral
2265,ToplahðŸ‘ðŸ»ðŸ‘ðŸ»ðŸ‘ðŸ»ðŸ‘ðŸ»ðŸ‘ðŸ»,Toplah👍🏻👍🏻👍🏻👍🏻👍🏻,netral,netral,positif
2266,user android 7.1 ngga bisa pake ya min?,"Android 7.1 users can't use it, right?",netral,netral,netral
2267,Akhir akhir ini aplikasi sering keluar sendiri ketika sudah login...bagaimana mau dipakai kalau seperti ini..,"Lately, the application often exits by itself when you log in...how can you use it if it's like this...",positif,netral,negatif
2268,Ok,Ok,positif,positif,netral
2269,Bagus,Good,positif,positif,positif
2270,Bgs cpt proses nya,Bgs cpt process case,netral,netral,positif
2271,Fiturnya sgt membantu,The features are really helpful,positif,positif,positif
2272,Aplikasi tidak bisa di buka...,Application cannot be opened...,netral,netral,negatif
2273,"Update kok nggak lebih baik,malah sering keluar sendiri.maaf bintang 2","The updates aren't better, in fact they often come out by themselves. Sorry 2 stars",negatif,netral,negatif
2274,ðŸ˜ðŸ˜Ž,😏😎,netral,netral,positif
2275,Saat pembaruan makin jelek apk nya Tolong diperbaiki lagi,When the update gets worse the apk please fix it again,negatif,netral,negatif
2276,Sangat membantu,Very helpful,positif,positif,positif
2277,"Mudah digunakan, semoga bisa lebih meningkatkan pelayanannya lagi","Easy to use, hopefully the service can be further improved",positif,positif,positif
2278,Aplikasi keluar sendiri terus kyak apa mw pelanggan puas...,The application comes out on its own and then it looks like the customer is satisfied...,positif,netral,negatif
2279,"sudah berubah drastis ya sekarang bisa buat shophe pay jg, jempol ðŸ‘ buat perubahannya","It's changed drastically, now you can do shophe pay too, thumbs up 👍 for the change",negatif,netral,positif
2280,Oke bangt banking niaga,Okay bangt business banking,positif,positif,positif
2281,nyesel,regret it,negatif,negatif,negatif
2282,Baguss,Good,positif,positif,positif
2283,Kenapa sekarang susah login susah susah susah haduh,"Why is it now difficult to log in, difficult, difficult, difficult?",negatif,negatif,negatif
2284,Ok,Ok,positif,positif,netral
2285,okk,us,netral,netral,netral
2286,Ga bisa login padahal lebih praktis lewat sini,Can't log in even though it's more practical this way,netral,netral,negatif
2287,Masih kurang,Still less,netral,netral,negatif
2288,Baru aja mau login langsung keluar sendiri apk nya.. Aneh bgt sering bgt kayk gini,I just wanted to log in and the apk immediately came out... It's strange how often it's like this,positif,netral,negatif
2289,Menjadi lebih mudah dalam melunasi tagihan,It becomes easier to pay off bills,positif,netral,positif
2290,"Udh lama gkbisa dibuka aplikasinya, ngebug trus, di update trus malah jd makin gkbisa login","It's been a long time since I couldn't open the application, it was buggy, then it was updated and then I couldn't even log in.",netral,netral,negatif
2291,Mantap,Great,positif,positif,positif
2292,"terimakasih. good jobs, awesome. good luck","terimakasih. good jobs, awesome. good luck",positif,positif,positif
2293,Good app,Good app,positif,positif,positif
2294,Kenapa octo mobile sekarang jadi ga bisa dibuka....apa mau bangkrut atw gimana?,Why can't Octo Mobile be opened now... is it going bankrupt or what?,negatif,netral,negatif
2295,Bgst kartu ga dateng dateng. Kurir gblk,"Oh my, the card didn't come. Gblk courier",netral,netral,negatif
2296,Good,Good,positif,positif,positif
2297,Hp saya android 9 tapi GK bisa di hp saya kenapa ini,"My cellphone is Android 9 but it doesn't work on my cellphone, why is this?",netral,netral,negatif
2298,Terima kasih,Thank You,positif,positif,positif
2299,"Sebenarnya sudah berusaha sabar dengan aplikasi Octo yg terupdate. Tapi kok tetap tidak ada perbaikan, sering force closed tidak bisa login. Android 13 bermasalah pakai aplikasi Octo. Entah ada masalah dari sisi server, tapi banyak pengguna mengeluhkan hal yang sama.","Actually, I have tried to be patient with the updated Octo application. But how come there is still no improvement, often force closed and unable to log in. Android 13 has problems using the Octo application. I don't know if there is a problem on the server side, but many users complain about the same thing.",negatif,netral,negatif
2300,mantap,solid,positif,positif,positif
2301,"Mau download nggak jadi, byk yg komen kurang bagus....","I don't want to download it, lots of comments are not good...",negatif,netral,negatif
2302,"Tidak bisa login, ngebug, force close, payah..","Can't log in, bugs, force close, sucks..",netral,netral,negatif
2303,Sangat bermanfaat dan membantu,Very useful and helpful,positif,positif,positif
2304,Good aplikation,Good application,positif,positif,positif
2305,Okey bagus,Okay good,positif,positif,positif
2306,"Ga guna, hilangin aja udah lah","It's no use, just lose it",negatif,negatif,negatif
2307,Goog,Google,netral,netral,positif
2308,Tank yau,Tank today,netral,netral,positif
2309,"Akun saya terblokir,caranya harus menelepon operator untuk membukanya,yang saya sesalkan biaya telepon operator itu sangat mahal,dan terlalu ribet sehingga gak keburu,keburu habis pulsanya,coba apakah ga ada cara yang lebih praktis untuk membuka akun octo yang terblokir??","My account is blocked, I have to call the operator to open it, what I regret is that the cost of calling the operator is very expensive, and it's too complicated so don't rush, if you run out of credit, see if there's a more practical way to open a blocked octo account??",negatif,netral,negatif
2310,"Mudah , cepat dan ga ribet","Easy, fast and hassle-free",positif,positif,positif
2311,Sering kluar sendiri g tau knp..sejak update..,Often comes out alone don't know why..since the update..,negatif,netral,negatif
2312,Lambat,Slow,netral,netral,negatif
2313,Buang buang pulsa ... dapat cs magang,Waste of credit... get a CS internship,negatif,netral,negatif
2314,Cepat,Fast,netral,netral,positif
2315,"Semenjak di perbarui malah gak bisa dibuka, hp gak pernah di root malah di sangka di root.. makin gak jelas nih.","Since updating, I can't even open it, the cellphone has never been rooted, but even thought it was rooted... it's getting unclear.",negatif,netral,negatif
2316,Ngelek sekali,I swallowed hard,negatif,netral,negatif
2317,Lemot bingit,Very slow,netral,netral,negatif
2318,"Baru mau daftar buka rekening, tp pas masukin nomer hp malah di katakan nomer sudah terdaftar. Saya aja gak punya rekening CIMB dan belum oernah buat. Malah di kata udah terdaftar. Aneh","Just wanted to register to open an account, but when I entered my cellphone number it said the number was already registered. I don't even have a CIMB account and have never created one. In fact, it says it's already registered. Strange",negatif,netral,negatif
2319,"Mohon maaf, kenapa ya passcodenya tidak mau keluar","Sorry, why doesn't the passcode come out?",negatif,netral,negatif
2320,"Setiap dibuka pasti close sendiri atau layar hitam. Parah. Beberapa waktu lalu sempat lumayan lancar pakenya, eh skrg sama sekali ga bisa dibuka. Beberapa kali tutup buka juga sama aja. Utk apa ada mobile banking kalau akhirnya harus pake kartu ATM juga. Mengecewakan.","Every time it is opened it will close itself or have a black screen. Critical. Some time ago it was quite smooth to use, but now it can't be opened at all. Closed and opened several times, it's the same. Why have mobile banking if you end up having to use an ATM card too? Disappointing.",negatif,netral,negatif
2321,Apknya kadang bisa dibuka kadang tidak dan tidak bisa di pakai pdhal sinyal kencang..,"Sometimes the APK can be opened, sometimes not and can't be used even though the signal is strong...",netral,netral,negatif
2322,Ok lancar,Ok smooth,positif,positif,positif
2323,Bagus,Good,positif,positif,positif
2324,"Praktis,mudah ðŸ‘ðŸ‘ðŸ‘ðŸ‘","Practical, easy 👍👍👍👍",positif,positif,positif
2325,"Kenapa skrg suka ilang sendiri,, sulit transaksi, mau transaksi cpet baru buka udh ngilang...","Why does it seem to disappear by itself now, it's difficult to make transactions, if you want a quick transaction just to open it, it disappears...",negatif,netral,negatif
2326,User Friendly,User Friendly,positif,positif,positif
2327,Mudah dan plexible,Easy and plexible,positif,positif,positif
2328,Mudah dan lengkap,Simple and complete,netral,netral,positif
2329,Gimana cara nya memulihkan akun CIMB niaga banking? Tanpa harus ke kantor pusat,How do I recover my CIMB Niaga banking account? Without having to go to the head office,netral,netral,netral
2330,skrg tf beda bank tdk kna biaya fitur lebih bnyk,Now TF from different banks doesn't have more feature fees,netral,netral,positif
2331,Cash plusku tdk ada?? Padhal sudah update terbaru,Cash plus doesn't exist?? Even though it has the latest update,netral,netral,netral
2332,top dahc CMB NIAGA,top dahc CMB NIAGA,positif,positif,positif
2333,Pantesan rating lo jelek.. Sering eror. Telpon call center susah banget sampe2 pulsa abis dari 20 ribu.. Rekpon saya sampe ga bisa buat transaksi gara2 masalah SMS ga bisa2.. Bener2 payah!!!,No wonder your rating is bad... Frequent errors. Calling the call center was so difficult that I ran out of credit of less than 20 thousand... I couldn't even make a transaction because I couldn't make an SMS... It really sucked!!!,negatif,netral,negatif
2334,Sangat bagus,Very good,positif,positif,positif
2335,Sangat membantu & semakin bagus,Very helpful and getting better,positif,positif,positif
2336,Mantabs,Mantabox,netral,netral,positif
2337,sangat bermanfaat sekali ðŸ‘ðŸ‘,very useful 👍👍,positif,positif,positif
2338,Dari kemarin nge laq terus ga bisa buka. Payah deh. Padahal aplikasi Octo Mobile 2 tahun lalu ga gini gini amat,Since yesterday it's been laqing and can't open it. That's bad. Even though the Octo Mobile application 2 years ago wasn't really like this,negatif,netral,negatif
2339,Lebih mudah dan efisien,Easier and more efficient,positif,positif,positif
2340,"Susah terhubung dgn cust service, Apl jelek bgt tbtb gada sinyal pas buka apk ini","It's hard to connect with customer service, the app is really bad tbtb there's no signal when I open this apk",negatif,netral,negatif
2341,Sudah 2bulan ini sering ngelag. Mau login juga susah banget,It's been lagging frequently for the past 2 months. It's also very difficult to log in,negatif,netral,negatif
2342,Mantab,Great,positif,positif,positif
2343,"ini gimana ya baru download kok gak bisa di buka ya aplikasi nya,,,, sudah saya cobak berkali2,, tetap gak bisa, ada tulisan MAAF PERANGKAT ANDA BELUM DAPAT DI GUNAKAN UNTUK MENGAKSES OCTO,,,,ðŸ¤¦ðŸ¤¦ðŸ˜­ðŸ˜­","How come I just downloaded it, how come I can't open the application... I've tried it several times, still it doesn't work, it says SORRY YOUR DEVICE CANNOT BE USED TO ACCESS OCTO...🤦🤦😭😭",negatif,netral,negatif
2344,"Mudah , canggih","Simple, sophisticated",positif,positif,positif
2345,Memudahkan utk bertransaksi dan sangat cepat,Makes transactions easy and very fast,positif,positif,positif
2346,Gampang penggunaanya,Easy to use,positif,positif,positif
2347,Mantap,Great,positif,positif,positif
2348,Aplikasi sering eror,The application often errors,negatif,negatif,negatif
2349,"Hallo Octo, kenapa baru sekarang Octo mobile saya tidak bisa dibuka?jika applikasi Octo mobile ada kendala untuk segera ditangani demi pelayanan kepada nasabah.terima kasih","Hello Octo, why can't I open my Octo mobile now? If there are problems with the Octo mobile application, they must be handled immediately for the sake of service to customers. Thank you",negatif,netral,negatif
2350,"Aplikasi lemot buatnya susah, bank-nya banyak terror nawarin asuransi, pinjaman, dll mengatasnamakan CMB mohon di tingkatkan lagi privasi","The application is slow which makes it difficult, many banks are afraid of offering insurance, loans, etc. in the name of CMB, please improve privacy",positif,netral,negatif
2351,"Ini mau buka aplikasi aja berat banget, padahal mau bayar tagihan, update baru kok semakin di perlambat saja heran","It's really hard to just open the application, even though I want to pay the bill, how come the new update is getting slower, I'm surprised",netral,netral,negatif
2352,"Gak bisa masuk, update malah makin kacau","Can't log in, updates are even more chaotic",negatif,netral,negatif
2353,Mengecewakan Apknya suka GK bisa dibuka padahal jaringan bagus hp bagus,"Disappointingly, the cellphone can't be opened even though the cellphone has a good network",netral,netral,negatif
2354,Bintang yang bicara,Stars talking,netral,netral,netral
2355,"ga bsa masuk loading trs mau tf ke org ga bsa muter"" aja dhl jaringan ok dan handphone pun memadai, ku kira karna blm di update tapi sama aja ternyata masih kya gt, gmn nih jdi susah buat urusn kerja, di sini jarang atm CMB mknnya pke octo","I can't enter and load, but I want to send a TF to someone, I can't play, but the network is ok and the cellphone is adequate, I thought it was because it hasn't been updated, but it's the same, it turns out it still doesn't work, how about this, it makes it difficult to do work, CMB ATMs are rare here, so that's why use octo",negatif,netral,negatif
2356,Ko nga bisa masuk ya,I can get angry,negatif,negatif,netral
2357,ngelag bngt asu padahal jaringan bagus terus,It lags a lot even though the network continues to be good,positif,netral,negatif
2358,"Kok makin parah ya setelah update...masa aplikasi perbankan kok kek gini, perbankan woeeeyyy.... urusan duit,dah pasti dana gedeeee.... mbanking nya kok lemot gini...malu-maluin aja","How come it's getting worse after the update...how come the banking application is like this, banking woeeeyyy...it's a matter of money, it's definitely a big fund...how come the banking is slow like this...it's just a shame",positif,netral,negatif
2359,Niaga ngeselin sumpah saya buru2 kerja mau isi gopay di banking nggak bisa di buka pelayanan banking keluar sendiri,"Business is annoying, I swear, I was in a hurry to work to top up GoPay in banking and couldn't open the banking service out by myself",negatif,netral,negatif
2360,"Aplikasi sering lag,,sekarang malah loading tidak selesai selesai,,sinyal bagus,hp juga bagus,,kenapa loading 1 jam tidak bisa masuk2,,jangan hanya ambil untung saja octo,makin ke sini makin burik pelayananny","The application often lags, now the loading doesn't even finish... the signal is good, the cellphone is also good, why doesn't it load for 1 hour, don't just take advantage of it, octo, the more you come here, the worse the service gets",negatif,netral,negatif
2361,"Jaringan ku stabil, bisa di pake apa aja. Tapi buat octo LEMOT!!!","My network is stable, I can use anything. But for octo it's SLOW!!!",positif,netral,negatif
2362,Ada apa dengan Cimb sih? Makin kesini aplikasi malah ga bisa di gunakan.. makij ga jelas aja..,"What's wrong with Cimb anyway? Increasingly, the application can't even be used... I'm just saying it's not clear...",negatif,netral,negatif
2363,Ga bisa Login....,Can't Login....,netral,netral,negatif
2364,"Server down kah, parah bgt gak bisa login","The server is down, it's really bad, I can't log in",negatif,netral,negatif
2365,Ini kenapa koq octo mobile bangking sering tidak bisa login.,This is why Octo Mobile Banking often can't log in.,netral,netral,negatif
2366,"Ini kenapa sih apk Octo mobile klo mau logi susah benar nggak kaya kemaren2 padahal sinya super Bagus kecewa gue Ama apk Octo mobile ini,tolong dong pihak developer di perbaiki lagi apknya,ini saya mau lakukan transaksi dan lainnya jadi terganggu di karenakan login susah tampilannya putih semua padahal jaringan sangat2 lancar tolong di perbaiki lagi apknya,dan saya tunggu estimasinya sekian dan terima kasih","This is why the Octo mobile apk is really difficult to log in to, it's really not like yesterday even though the signal is super good, I'm disappointed with this Octo mobile apk, please fix the apk again for the developer, I want to make a transaction and other things so it's disturbed because logging in is difficult, the display is white. everything, even though the network is very smooth, please fix the apk again, and I'm waiting for the estimate, that's all and thank you",positif,netral,negatif
2367,"Kok gak bisa digunakan ya? Padahal jaringan lancar masa loading terus, halaman awal, notifikasi gak keload","Why can't it be used? Even though the network is running smoothly, it keeps loading, the start page and notifications don't load",netral,netral,negatif
2368,saya sangat suka dengan pelayanannya,I really like the service,positif,positif,positif
2369,Aplikasi nya kurang bagus,The application is not good,negatif,positif,negatif
2370,"Gimana ini gabisa masuk setelah update,, saya ada transaksi penting,, parah sih","How come I can't log in after updating, I have an important transaction, it's really bad",negatif,netral,negatif
2371,"Di update bukannya tambah bener, malah makin susah masuk..udah masuknya susah, sering bermasalah...","Instead of updating it, it's getting better, it's actually getting harder to enter... it's already difficult to enter, often has problems...",positif,netral,negatif
2372,"Ga ngerti sih, cuman apk ini aja yang loading nya sampe 2jam itupun belum masuk, padahal sinyal kenceng HP pake poco x3 pro, ga ngerti.","I don't understand, it's just that this APK has been loading for 2 hours and it hasn't even arrived yet, even though the cellphone has a fast signal using a Poco X3 Pro, I don't understand.",netral,netral,negatif
2373,Haduh aplikasi kok lambat sekali gak sat set sat set,"Wow, how come the application is so slow and doesn't set one set at a time",positif,netral,negatif
2374,"Gimna ini aplikasi susah untuk login nya lama bener padahal ini saya lagi urgent, udh d coba di uninstall terus di bersihkan data tapi ttep aja susah untuk login nya","How is this application difficult to log in to, it really takes a long time even though it's urgent for me, I've tried uninstalling it and then cleaning the data but it's still hard to log in.",negatif,netral,negatif
2375,Lalod,load,netral,netral,negatif
2376,"Aplikasinya lemot,sering eror","The application is slow, often errors",negatif,netral,negatif
2377,Jelek updatenya makin parah,The bad updates are getting worse,negatif,negatif,negatif
2378,Buruk kali aplikasi di update bukan nya makin bagus malah makin hancur sama sekali gk bisa dibuka aplikasinya,"It's bad that every time the application is updated, it doesn't get better, it gets even worse, you can't open the application at all",negatif,netral,negatif
2379,Aneh banget gk bisa masuk jaringan padahal baguss,It's really strange not being able to enter the network even though it's good,positif,netral,negatif
2380,Apl Rusak. Makin di update bukannya makin bagus malah makin buruk,"Broken App. The more updates it gets, the better it gets, the worse it gets",negatif,netral,negatif
2381,Aplikasi sampah,Garbage app,netral,netral,negatif
2382,Menggangu pekerjaan saya.. Respon aplikasi lambat.. Sampe beli hp lagi yg lumayan tetep aja lambat.. Aplikasi lama lebih baik.. ðŸ˜…,Disturbing my work.. The application response is slow.. Until I bought another decent cellphone it was still slow.. The old application was better.. 😅,negatif,netral,negatif
2383,Sering nggak bisa di pake setelah di-update..pas butuh malah eror,"Often I can't use it after updating... when I need it, it gets an error",negatif,netral,negatif
2384,Mencrettt,Mencrett,netral,netral,negatif
2385,"Jelek banget banyak kendala, hahaha","It's really bad, there are lots of obstacles, hahaha",negatif,netral,negatif
2386,"Ini kenapa sinyalnya lemot kalo buka octo mobile, padahal buka apk lain bagus sinyalnya","This is why the signal is slow when you open Octo Mobile, even though you open another APK and the signal is good",positif,netral,netral
2387,Emng ini mobile bangking paling buruk di antara bank yang lain... Selaku deplover jangan cuma cari untung nya doang tapi kualitas sangat BURUK...,"This is indeed the worst mobile banking among other banks... As a developer, don't just look for profit but the quality is very BAD...",negatif,netral,negatif
2388,"Di update semakin ancur nih aplikasinya, gk bisa dibuka","In the update, the application is getting worse, it can't be opened",negatif,netral,negatif
2389,Sering error lemot,Frequent slow errors,negatif,negatif,negatif
2390,"Tampilan jadi keren, tapi sekarang sering terjadi bug sidik jari. Tolong diperbaiki thanks","The appearance is cool, but now fingerprint bugs often occur. Please fix it, thanks",positif,positif,netral
2391,Bufering terus padahal sinyal bagus buka apk lain bisa lancar kecewa,"Continuous buffering even though the signal is good, opening other apks can easily disappoint you",positif,netral,negatif
2392,parah banget. kenapa kuota masih banyak gak bisa buka aplikasinya. padahal buka google uninstall dan download ulang aplikasinya bisa. tapi login gak bisa bisa. tolong dong di perbaiki. bingung ini apa nya yg eror,"really bad. why is there still a lot of quota and can't open the application. even though you can open Google, uninstall and re-download the application. but I can't log in. please fix it. I'm confused about what this error is",negatif,netral,negatif
2393,"Buruk, susah dibuka","Bad, hard to open",negatif,negatif,negatif
2394,Ga jelas Ga bisa masuk di Octo mobilenya Udah 1 jam buka ga bisa2 masuk parah bangat app kaya gini,"It's not clear, I can't log in to Octo mobile, which has been open for 1 hour, I can't log in, it's really bad for an app like this",negatif,netral,negatif
2395,Makin ke sini makin lambat mbanking yh tolong di perbaiki in lagi Tapi untuk karyawan karyawan cukup memuaskan ke customer customer yh,"The more you come here, the slower the banking gets, please fix it again. But for the employees, the employees are quite satisfied with the customers, OK?",positif,netral,negatif
2396,"Jaman gini pake mbanking masih lemot!!! Aneh sih ini, heran ya kok bisa gitu gak ada perbaikan, gak jelas, aplikasi loading parah bnget, kecewa sih","Nowadays using mbanking is still slow!!! This is really strange, I'm surprised how come there's no improvement, it's not clear, the application loading is really bad, I'm disappointed",negatif,netral,negatif
2397,sehabis di update malah gabisa di buka mbankingnya kenapa ya?,"After updating, I can't even open mbanking, why?",netral,netral,negatif
2398,Aplikasi parah super lelet!!! Sinyal bagus masih aja muter2 anj**g!!!,Super slow application!!! Good signal is still playing dogs!!!,positif,positif,negatif
2399,Ko lemot si,I miss you,negatif,negatif,negatif
2400,Habis update ngadat,After the update it crashed,netral,netral,negatif
2401,Parah aplikasi nya lambat ganguan terus merugikan mobiltas penguna... Kasi bintang 1 buat aplikasi yang lebih baik,"Worse, the application is slow and the interruptions continue to harm user mobility... Give 1 star for a better application",negatif,netral,negatif
2402,"Aplikasi kebanyakan update, tapi gak ada kemajuan","Most of the applications are updated, but there is no progress",positif,netral,negatif
2403,"aplikasi per bank an yang paling gajelas , lemot , dan sering eror , kalo gasiap buat ada aplikasinya gausah ada , malah menuhi memory aja tapi aplikasi sampah","The banking application is the most unclear, slow, and often has errors, if you're not ready to create an application, there's no need to have one, instead it just fills up memory but is a rubbish application",negatif,netral,negatif
2404,Terlalu sering bug sistem !,Too frequent system bugs!,netral,netral,negatif
2405,Ok lah,Okay,positif,positif,netral
2406,Mantap pokok nyaðŸ‘,The tree is great 👍,positif,positif,positif
2407,"Bangaimana ini pelayananya sangat buruk, kartu saya di blokir di atm manapun tanpa ada keterangan dari kantornya, jadj nyesal pake CIMB","How come the service is so bad, my card was blocked at any ATM without any information from the office, so I regret using CIMB",negatif,netral,negatif
2408,"tidak berfungsi di perangkat saya,kenapa ya ?","doesn't work on my device, why?",netral,netral,netral
2409,Good,Good,positif,positif,positif
2410,Sangat membantu,Very helpful,positif,positif,positif
2411,"Kok jadi ada keteranan Mohon maaf perangkat anda saat ini belum bisa untuk mengakses octo mobile, gimana ini??","How come there is a connection? Sorry, your device is currently unable to access Octo Mobile, how about this??",negatif,netral,netral
2412,apk spam,apk spam,negatif,negatif,negatif
2413,ðŸ‘,👍,netral,netral,positif
2414,"Selama ini good service, belum tau setelah diupdate","So far, good service, don't know yet after it's updated",positif,netral,positif
2415,"Gatau, gapaham. Baru mau daftar udh ke blokir giliran menghubungi call center nya katanya ga keblokir. Jadi ga pernah bisa make","I don't know, I don't understand. Just wanted to register and it was blocked. It was my turn to contact the call center, they said it wasn't blocked. So I can never use it",negatif,netral,negatif
2416,Aplikasi aneh sering keluar sendiri (layar ketutup otomatis) setelah di buka...SANGAT MENGGANGGU SAAT INGIN MELAKUKAN TRANSFER BURU2,Strange applications often exit by themselves (the screen closes automatically) after opening them...VERY DISTURBING WHEN YOU WANT TO MAKE A HURRY TRANSFER,negatif,netral,negatif
2417,tapi potongan pajak besar,but big tax deductions,netral,netral,negatif
2418,Ok,Ok,positif,positif,netral
2419,Membingungkan,Confusing,negatif,negatif,negatif
2420,Kecewa bngett,Very disappointed,negatif,negatif,negatif
2421,sayang masih ada adminnya....,unfortunately there is still an admin....,negatif,netral,negatif
2422,Aplikasi yang selalu error jika mendaftar aplikasi sangat menjengkelkan ðŸ˜¤ðŸ˜¤ðŸ˜¤,Applications that always have an error when registering an application are very annoying 😤😤😤,negatif,negatif,negatif
2423,Bagus,Good,positif,positif,positif
2424,Mudah dan aman,Easy and safe,positif,positif,positif
2425,Makin parah aja aplikasi ini Br buka lgsg blank out DiulangÂ² tetep gt aja Bikin kesel ðŸ˜“ Pas butuh cepet dia malah lelet poll,"This application just gets worse. When I open it, it immediately goes blank. Repeating it, it still doesn't work. It makes me annoyed 😓 When I need it quickly, it ends up slowing down polls.",negatif,netral,negatif
2426,octo mobile luar biasa,octo mobile is amazing,positif,positif,positif
2427,Makin mudah dengan okto mobile,It's even easier with octo mobile,positif,positif,positif
2428,Kenapa tidak bisa transfer ke virtual account ?? Minta tolong konfirmasinya mengenai transfer ke virtual account,Why can't I transfer to a virtual account?? Please confirm the transfer to a virtual account,positif,netral,netral
2429,sangat memudahkan,very easy,positif,positif,positif
2430,"Mohon perbaiki segera, krna ini applikasi selalu nge lag, gak bisa dibuka. Bahkan sering close sendiri. Apalagi setelah di update malah gak bisa dibuka sama sekali...Maaf saya kasih bintang 1","Please fix it immediately, because this application always lags, can't be opened. In fact, it often closes itself. Moreover, after the update it couldn't be opened at all...Sorry I gave it 1 star",negatif,netral,negatif
2431,Skrg ini stlah diupdate saya tidak bisa menggunakan Octo click lagi alasannya perangkat tidak memadai Masa setiap update harus ganti hp Dulu lama sudah pakai Octo click tidak masalah Mohon maap saya kasih bintang 2 saya Tarik lagi bintang 5 nya Karena saya sebagai nasabah tidak dapat menikmati fasilitas Octo click,"Now, after updating, I can't use Octo Click anymore because the device is inadequate. Every time I update, I have to change my cellphone. I've been using Octo Click for a long time, no problem. I'm sorry, I'll give you 2 stars. I'll withdraw the 5 stars because I as a customer can't enjoy Octo facilities. click",negatif,netral,negatif
2432,Ini kenapa setelah di-update kenapa ga bisa diakses Tanya cs dibilang hp nya kurang canggih Alasan hp kurang canggih sebelum2 nya sebelum di-update lancar Susah begini ceritanya CIMB ga perhatiin kenyamanan nasabahnya,"This is why after updating it, why can't it be accessed? Ask CS, they say the cellphone is not sophisticated",negatif,netral,negatif
2433,Apa sudah di perbaiki. Suka keluar sendiri.,Has it been repaired? Likes to go out alone.,positif,netral,netral
2434,"ini app sampah ya??rugi saya gunakan ini app,,sama sekali tidak bisa di gunakan","This is a trash app, right? It's a loss for me to use this app, it can't be used at all",negatif,netral,negatif
2435,So far so good,So far so good,positif,positif,positif
2436,"Mau login tapi gak bisa,,,malah minta passcode ,,kirim ulang passcode tapi gak muncul2 passcode nya gak tau main ke mana passcode nya..mana lagi darurat lagi","I want to log in but I can't... instead it asks for a passcode... resend the passcode but the passcode doesn't appear, I don't know where to go for the passcode... where else is it an emergency?",negatif,netral,negatif
2437,"Aplikasi super keuangan yang paling lengkap dan ga ribet, cukup pake 1 aplikasi ini aja, semua transaksi beres!","The most complete and hassle-free super financial application, just use this 1 application, all transactions are done!",positif,netral,positif
2438,"Baru kemarin upgrade, bukannya makin bagus pelayanannya malah makin jelek. Baru buka aplikasi belum sempet login eh udah keluar sendiri. GIMANA SI INI","Just upgraded yesterday, instead of getting better the service actually got worse. Just opened the application before logging in, it just logged out by itself. HOW IS THIS?",negatif,netral,negatif
2439,"Udh di update tapi masih sja tidak di buka, di bilang HP gw udah di Root lah. Percuma lu update tapi tetap TIDAK BISA DI BUKA","I've updated it but it still won't open, it says my cellphone has been rooted. It's useless for you to update but you still CAN'T OPEN it",negatif,netral,negatif
2440,"Makin buruk aplikasi nya, ntuk membuka aplikasinya aja selalu keluar sendiri,. Harus berkali x buka aplikasi baru bisa login, Sering keluar sendiri,","The worse the application is, the more you open the application it always exits by itself. You have to open the application several times before you can log in. It often logs out on its own.",negatif,netral,negatif
2441,Aplikasi ngeleg mulu cape bikin stress aja pas ada transaksi urgent malah bikin pusing,"The application is always tired and makes you stressed when you have an urgent transaction, it actually makes you dizzy",negatif,netral,negatif
2442,Lumayan cukup membatu tp klu BS untuk tf.ya di perkecil,"It's quite helpful, but if you need BS for tf. then reduce it",positif,netral,positif
2443,Bgs bgt semua pada nanya gambarnya,"It's really great, everyone is asking for the picture",positif,positif,positif
